,polarity
275,-11.771546363830566
276,-12.304349899291992
277,-11.643160820007324
278,-11.771259307861328
279,-11.508350372314453
280,-12.140777587890625
281,-11.716008186340332
282,-12.057867050170898
283,-12.057867050170898
284,-11.66231918334961
285,-11.983123779296875
286,-11.833162307739258
287,-12.304349899291992
288,-11.740142822265625
289,-11.66231918334961
290,-12.304349899291992
291,-12.304349899291992
292,-12.304349899291992
293,-11.488031387329102
294,-12.03645133972168
295,-11.643160820007324
296,-11.600638389587402
297,-11.643160820007324
298,-12.143669128417969
299,-11.82632827758789
300,-11.66231918334961
301,-12.220901489257812
302,-11.34554386138916
303,-12.065713882446289
304,-11.594335556030273
305,-12.304349899291992
306,-12.304349899291992
307,-11.643160820007324
308,-12.304349899291992
309,-12.304349899291992
310,-12.03492546081543
311,-11.643160820007324
312,-11.823362350463867
313,-11.488031387329102
314,-10.436223030090332
315,-10.902679443359375
316,-12.188796997070312
317,-11.903972625732422
318,-7.5926408767700195
319,-12.304349899291992
320,-11.793697357177734
321,-7.835627555847168
322,-11.508350372314453
323,-12.010757446289062
324,-11.643160820007324
325,-12.244609832763672
326,-11.625093460083008
327,-12.304349899291992
328,-11.924827575683594
329,-12.03645133972168
330,-11.709362983703613
331,-11.464997291564941
332,-12.192094802856445
333,-12.304349899291992
334,-12.304349899291992
335,-12.3214111328125
336,-11.572935104370117
337,-12.097731590270996
338,-12.006830215454102
339,-11.94450855255127
340,-12.196327209472656
341,-12.178998947143555
342,-8.71648120880127
343,-11.871112823486328
344,-12.304349899291992
345,-12.065713882446289
346,-11.115941047668457
347,-12.22404956817627
348,-12.111791610717773
349,-11.90683364868164
350,-11.826896667480469
351,-12.055745124816895
352,-12.049270629882812
353,-12.03879165649414
354,-11.643160820007324
355,-12.390273094177246
356,-12.157163619995117
357,-11.643160820007324
358,-11.896921157836914
359,-12.178998947143555
360,-12.197307586669922
361,-11.99111557006836
362,-12.133392333984375
363,-11.643160820007324
364,-11.972082138061523
365,-12.149617195129395
366,-12.181577682495117
367,-12.304349899291992
368,-11.625093460083008
369,-11.66231918334961
370,-12.304349899291992
371,-12.003442764282227
372,-11.735167503356934
373,-5.829629898071289
374,-11.319055557250977
375,-11.488031387329102
376,-12.304349899291992
377,-12.304349899291992
378,-12.304349899291992
379,-11.643160820007324
380,-11.827856063842773
381,-12.02055549621582
382,-12.264965057373047
383,-11.66231918334961
384,-11.661529541015625
385,-7.5926408767700195
386,-12.304349899291992
387,-12.304349899291992
388,-10.221962928771973
389,-12.094907760620117
390,-11.488031387329102
391,-11.809367179870605
392,-11.568204879760742
393,-12.144615173339844
394,-11.842662811279297
395,-11.643160820007324
396,-11.66231918334961
397,-11.625093460083008
398,-11.53611946105957
399,-12.176156997680664
400,-11.75654411315918
401,-11.643160820007324
402,-11.489574432373047
403,-11.66231918334961
404,-12.128371238708496
405,-11.675456047058105
406,-11.198349952697754
407,-10.577413558959961
408,-12.183469772338867
409,-11.96069622039795
410,-12.304349899291992
411,-11.643160820007324
412,-11.87022590637207
413,-11.309318542480469
414,-10.25651741027832
415,-11.709362983703613
416,-11.535727500915527
417,-11.909125328063965
418,-12.149923324584961
419,-12.09221076965332
420,-9.968196868896484
421,-12.109701156616211
422,-12.304349899291992
423,-12.304349899291992
424,-12.017793655395508
425,-11.73198127746582
426,-12.304349899291992
427,-12.255134582519531
428,-12.359487533569336
429,-12.304349899291992
430,-12.043458938598633
431,-11.625093460083008
432,-11.317728042602539
433,-12.057867050170898
434,-11.579675674438477
435,-12.065713882446289
436,-11.488031387329102
437,-11.643160820007324
438,-12.304349899291992
439,-11.488031387329102
440,-12.065713882446289
441,-12.116693496704102
442,-12.107564926147461
443,-7.835627555847168
444,-12.155441284179688
445,-12.218147277832031
446,-12.0654935836792
447,-11.877205848693848
448,-12.054420471191406
449,-11.842662811279297
450,-11.488031387329102
451,-12.304349899291992
452,-12.304349899291992
453,-12.057867050170898
454,-11.66231918334961
455,-11.41880989074707
456,-10.79599380493164
457,-11.982362747192383
458,-12.117451667785645
459,-11.880084991455078
460,-11.53611946105957
461,-12.304349899291992
462,-12.304349899291992
463,-11.643160820007324
464,-10.728483200073242
465,-11.9913330078125
466,-11.950948715209961
467,-11.643160820007324
468,-12.304349899291992
469,-7.5926408767700195
470,-11.901208877563477
471,-11.46870231628418
472,-12.304349899291992
473,-11.643160820007324
474,-11.752511978149414
475,-11.66231918334961
476,-12.158525466918945
477,-11.990957260131836
478,-11.158231735229492
479,-7.5926408767700195
480,-7.5926408767700195
481,-11.523160934448242
482,-11.508350372314453
483,-12.304349899291992
484,-12.142217636108398
485,-12.116693496704102
486,-11.198349952697754
487,-12.200960159301758
488,-11.66231918334961
489,-11.386404037475586
490,-12.116992950439453
491,-12.03879165649414
492,-11.904829978942871
493,-11.333322525024414
494,-11.971630096435547
495,-12.065713882446289
496,-11.645818710327148
497,-11.883430480957031
498,-11.75654411315918
499,-11.66231918334961
500,-12.147321701049805
501,-10.019229888916016
502,-12.097745895385742
503,-12.261507034301758
504,-11.53611946105957
505,-11.973194122314453
506,-11.823028564453125
507,-12.116992950439453
508,-12.13670539855957
509,-11.488031387329102
510,-12.109031677246094
511,-11.790998458862305
512,-12.377649307250977
513,-12.123732566833496
514,-12.304349899291992
515,-11.66231918334961
516,-12.116992950439453
517,-11.53611946105957
518,-12.1950101852417
519,-9.968196868896484
520,-12.158525466918945
521,-11.84306812286377
522,-10.973430633544922
523,-11.68554973602295
524,-12.282772064208984
525,-11.53611946105957
526,-12.304349899291992
527,-11.881772994995117
528,-9.298853874206543
529,-12.181577682495117
530,-11.790998458862305
531,-11.489876747131348
532,-10.907796859741211
533,-11.488031387329102
534,-11.888675689697266
535,-12.019756317138672
536,-11.790998458862305
537,-10.891961097717285
538,-11.643160820007324
539,-12.181577682495117
540,-12.017793655395508
541,-11.75654411315918
542,-7.5926408767700195
543,-8.563468933105469
544,-11.643160820007324
545,-11.625093460083008
546,-12.304349899291992
547,-12.304349899291992
548,-12.304349899291992
549,-12.006830215454102
550,-12.255134582519531
551,-12.010757446289062
552,-11.284125328063965
553,-11.66231918334961
554,-12.117351531982422
555,-11.75654411315918
556,-11.53611946105957
557,-10.264166831970215
558,-12.18228816986084
559,-11.643160820007324
560,-11.68348503112793
561,-11.643160820007324
562,-11.625093460083008
563,-11.785982131958008
564,-11.68348503112793
565,-12.109031677246094
566,-9.298853874206543
567,-11.469376564025879
568,-11.625093460083008
569,-11.904829978942871
570,-11.876523971557617
571,-11.972742080688477
572,-11.625093460083008
573,-12.07813835144043
574,-12.036510467529297
575,-12.236242294311523
576,-7.5926408767700195
577,-11.98052978515625
578,-9.504408836364746
579,-12.158525466918945
580,-12.065713882446289
581,-12.175252914428711
582,-12.065713882446289
583,-12.304349899291992
584,-11.848203659057617
585,-11.709362983703613
586,-11.398258209228516
587,-12.118782043457031
588,-9.534506797790527
589,-12.304349899291992
590,-12.304349899291992
591,-12.057867050170898
592,-11.707670211791992
593,-11.997184753417969
594,-11.192495346069336
595,-11.848623275756836
596,-11.78238296508789
597,-11.626625061035156
598,-11.643160820007324
599,-12.01521110534668
600,-11.890565872192383
601,-12.19563102722168
602,-11.643160820007324
603,-11.842662811279297
604,-11.643160820007324
605,-12.304349899291992
606,-12.143669128417969
607,-11.790998458862305
608,-12.304349899291992
609,-12.068498611450195
610,-11.771291732788086
611,-11.844274520874023
612,-12.304349899291992
613,-11.222297668457031
614,-12.155738830566406
615,-11.913140296936035
616,-12.249434471130371
617,-12.014081954956055
618,-7.835627555847168
619,-12.107253074645996
620,-11.851547241210938
621,-11.973006248474121
622,-11.625093460083008
623,-11.319070816040039
624,-12.118032455444336
625,-11.790998458862305
626,-12.304349899291992
627,-12.162351608276367
628,-12.116992950439453
629,-11.828544616699219
630,-10.264166831970215
631,-9.968196868896484
632,-11.66231918334961
633,-7.5926408767700195
634,-12.117351531982422
635,-12.224485397338867
636,-11.600638389587402
637,-11.950948715209961
638,-11.962721824645996
639,-11.66231918334961
640,-11.643160820007324
641,-12.264965057373047
642,-12.154678344726562
643,-8.121042251586914
644,-11.944271087646484
645,-12.139867782592773
646,-11.625093460083008
647,-11.962839126586914
648,-11.916528701782227
649,-12.304349899291992
650,-11.53611946105957
651,-12.304349899291992
652,-12.304349899291992
653,-11.971630096435547
654,-12.257596969604492
655,-12.304349899291992
656,-12.304349899291992
657,-12.06655216217041
658,-10.221962928771973
659,-11.480962753295898
660,-12.304349899291992
661,-11.66231918334961
662,-10.89767074584961
663,-11.883430480957031
664,-12.304349899291992
665,-12.065713882446289
666,-10.065561294555664
667,-11.464296340942383
668,-10.370617866516113
669,-11.785982131958008
670,-12.181577682495117
671,-11.488031387329102
672,-12.057867050170898
673,-12.100924491882324
674,-12.304349899291992
675,-12.158525466918945
676,-11.857955932617188
677,-11.598329544067383
678,-11.901447296142578
679,-12.104654312133789
680,-12.11524772644043
681,-12.185222625732422
682,-12.178998947143555
683,-11.573018074035645
684,-12.304349899291992
685,-11.35136604309082
686,-11.98466682434082
687,-11.643160820007324
688,-12.304349899291992
689,-11.643160820007324
690,-11.973006248474121
691,-11.508350372314453
692,-11.913172721862793
693,-11.668384552001953
694,-12.036199569702148
695,-12.284195899963379
696,-11.60775089263916
697,-11.904829978942871
698,-11.809854507446289
699,-12.304349899291992
700,-11.820704460144043
701,-11.883430480957031
702,-11.851547241210938
703,-11.585958480834961
704,-10.221962928771973
705,-12.304349899291992
706,-12.012258529663086
707,-11.965336799621582
708,-11.751809120178223
709,-12.173431396484375
710,-10.264166831970215
711,-12.142847061157227
712,-11.790998458862305
713,-11.53611946105957
714,-12.22065544128418
715,-11.66231918334961
716,-12.249434471130371
717,-11.68348503112793
718,-11.528070449829102
719,-11.874879837036133
720,-12.010757446289062
721,-12.304349899291992
722,-12.172872543334961
723,-11.963377952575684
724,-11.488031387329102
725,-11.916940689086914
726,-11.914899826049805
727,-11.681024551391602
728,-12.058988571166992
729,-12.200960159301758
730,-11.685762405395508
731,-11.383834838867188
732,-11.488031387329102
733,-12.255134582519531
734,-11.958810806274414
735,-12.304349899291992
736,-12.006359100341797
737,-11.87022590637207
738,-12.11007308959961
739,-11.6909761428833
740,-12.240667343139648
741,-11.842662811279297
742,-11.643160820007324
743,-11.499958038330078
744,-11.68348503112793
745,-12.21889877319336
746,-11.625093460083008
747,-12.304349899291992
748,-12.12929630279541
749,-11.643160820007324
750,-11.625093460083008
751,-9.298853874206543
752,-11.521714210510254
753,-5.829629898071289
754,-12.116992950439453
755,-11.625093460083008
756,-11.66231918334961
757,-12.191277503967285
758,-12.181577682495117
759,-12.048168182373047
760,-11.398258209228516
761,-11.643160820007324
762,-12.223308563232422
763,-10.938387870788574
764,-10.264166831970215
765,-11.643160820007324
766,-12.092544555664062
767,-10.221962928771973
768,-9.298853874206543
769,-11.924751281738281
770,-12.065713882446289
771,-12.175252914428711
772,-12.304349899291992
773,-11.823028564453125
774,-12.065713882446289
775,-12.116992950439453
776,-12.117351531982422
777,-12.304349899291992
778,-10.891961097717285
779,-12.304349899291992
780,-12.065713882446289
781,-12.112085342407227
782,-12.057867050170898
783,-11.883430480957031
784,-11.989907264709473
785,-10.795082092285156
786,-11.643160820007324
787,-11.785224914550781
788,-11.995271682739258
789,-11.883430480957031
790,-11.625093460083008
791,-12.109006881713867
792,-12.078418731689453
793,-11.834077835083008
794,-12.158525466918945
795,-11.894506454467773
796,-12.111791610717773
797,-12.135743141174316
798,-9.968196868896484
799,-11.643160820007324
800,-11.997184753417969
801,-12.304349899291992
802,-12.294698715209961
803,-12.220901489257812
804,-11.713839530944824
805,-12.304349899291992
806,-7.5926408767700195
807,-11.508350372314453
808,-11.675456047058105
809,-12.090099334716797
810,-12.304349899291992
811,-11.883430480957031
812,-12.17623233795166
813,-12.304349899291992
814,-12.020004272460938
815,-11.333322525024414
816,-11.888675689697266
817,-11.66231918334961
818,-10.221962928771973
819,-12.304349899291992
820,-12.15449333190918
821,-11.66231918334961
822,-11.911249160766602
823,-12.304349899291992
824,-11.643160820007324
825,-12.148918151855469
826,-12.304349899291992
827,-11.625093460083008
828,-11.66231918334961
829,-11.830764770507812
830,-12.304349899291992
831,-7.5926408767700195
832,-11.713839530944824
833,-12.152593612670898
834,-12.116992950439453
835,-11.989907264709473
836,-12.415609359741211
837,-11.66231918334961
838,-12.05807876586914
839,-12.304349899291992
840,-12.017793655395508
841,-11.66231918334961
842,-11.930278778076172
843,-11.545586585998535
844,-11.284125328063965
845,-11.643160820007324
846,-11.643160820007324
847,-11.66231918334961
848,-12.304349899291992
849,-12.304349899291992
850,-12.282054901123047
851,-7.5926408767700195
852,-12.155141830444336
853,-11.700468063354492
854,-11.66231918334961
855,-7.5926408767700195
856,-12.057867050170898
857,-11.87022590637207
858,-11.625093460083008
859,-11.643160820007324
860,-11.66231918334961
861,-12.304349899291992
862,-11.66231918334961
863,-12.304349899291992
864,-11.692500114440918
865,-11.222297668457031
866,-12.304349899291992
867,-12.152599334716797
868,-12.304349899291992
869,-7.5926408767700195
870,-11.6895751953125
871,-11.168403625488281
872,-11.790998458862305
873,-11.883430480957031
874,-12.304349899291992
875,-11.79205322265625
876,-11.115941047668457
877,-12.304349899291992
878,-11.801496505737305
879,-12.026004791259766
880,-11.579627990722656
881,-11.941899299621582
882,-12.036100387573242
883,-11.507089614868164
884,-12.304349899291992
885,-12.304349899291992
886,-11.292112350463867
887,-12.214860916137695
888,-11.66231918334961
889,-11.861846923828125
890,-11.809367179870605
891,-12.304349899291992
892,-11.999189376831055
893,-12.158525466918945
894,-11.625093460083008
895,-12.304349899291992
896,-12.084281921386719
897,-11.989907264709473
898,-11.827564239501953
899,-12.004341125488281
900,-11.94301986694336
901,-11.643160820007324
902,-11.91649055480957
903,-11.985483169555664
904,-11.94450855255127
905,-12.002870559692383
906,-12.304349899291992
907,-11.874584197998047
908,-11.868587493896484
909,-11.790998458862305
910,-12.026727676391602
911,-11.600638389587402
912,-11.918827056884766
913,-11.53611946105957
914,-11.790998458862305
915,-12.304349899291992
916,-12.023170471191406
917,-11.079927444458008
918,-12.017793655395508
919,-11.06004524230957
920,-10.7264404296875
921,-11.842662811279297
922,-11.66231918334961
923,-11.625093460083008
924,-11.973006248474121
925,-11.973006248474121
926,-12.263076782226562
927,-12.304349899291992
928,-12.304349899291992
929,-12.19563102722168
930,-12.178998947143555
931,-11.66231918334961
932,-12.1425142288208
933,-11.68348503112793
934,-12.101325988769531
935,-11.671467781066895
936,-12.20040512084961
937,-11.53611946105957
938,-11.66231918334961
939,-11.878373146057129
940,-11.643160820007324
941,-12.268085479736328
942,-12.304349899291992
943,-11.989907264709473
944,-11.594074249267578
945,-11.838140487670898
946,-11.66231918334961
947,-12.304349899291992
948,-11.578818321228027
949,-11.643160820007324
950,-11.66231918334961
951,-12.304349899291992
952,-11.790998458862305
953,-12.116992950439453
954,-11.643160820007324
955,-11.809854507446289
956,-12.057867050170898
957,-11.616670608520508
958,-12.096639633178711
959,-11.883430480957031
960,-11.66231918334961
961,-10.493407249450684
962,-11.53611946105957
963,-9.298853874206543
964,-11.51463508605957
965,-12.051036834716797
966,-11.53611946105957
967,-12.304349899291992
968,-11.6651611328125
969,-12.209957122802734
970,-11.746079444885254
971,-12.194770812988281
972,-11.790998458862305
973,-12.065713882446289
974,-7.5926408767700195
975,-12.359487533569336
976,-12.131551742553711
977,-11.790998458862305
978,-11.53611946105957
979,-11.66231918334961
980,-11.81678581237793
981,-11.508350372314453
982,-11.971343994140625
983,-12.010757446289062
984,-11.59748649597168
985,-11.366218566894531
986,-12.304349899291992
987,-11.488031387329102
988,-11.66231918334961
989,-6.820977687835693
990,-12.304349899291992
991,-11.884435653686523
992,-12.174480438232422
993,-11.643160820007324
994,-10.206378936767578
995,-11.709362983703613
996,-11.842662811279297
997,-12.146563529968262
998,-11.706548690795898
999,-10.264166831970215
1000,-11.643160820007324
1001,-11.650306701660156
1002,-11.47991943359375
1003,-12.057867050170898
1004,-11.625093460083008
1005,-11.53611946105957
1006,-12.304349899291992
1007,-12.304349899291992
1008,-11.508350372314453
1009,-12.304349899291992
1010,-12.112360000610352
1011,-11.747570037841797
1012,-12.407075881958008
1013,-12.304349899291992
1014,-12.304349899291992
1015,-11.68348503112793
1016,-12.178998947143555
1017,-11.609914779663086
1018,-12.304349899291992
1019,-11.66231918334961
1020,-11.66231918334961
1021,-11.701818466186523
1022,-11.842662811279297
1023,-11.681024551391602
1024,-7.835627555847168
1025,-11.75654411315918
1026,-12.123732566833496
1027,-12.111977577209473
1028,-11.625093460083008
1029,-12.304349899291992
1030,-11.938348770141602
1031,-11.932321548461914
1032,-12.09764289855957
1033,-9.334344863891602
1034,-9.298853874206543
1035,-11.508350372314453
1036,-12.304349899291992
1037,-12.160219192504883
1038,-12.304349899291992
1039,-12.304349899291992
1040,-12.029898643493652
1041,-12.304349899291992
1042,-11.883430480957031
1043,-12.083294868469238
1044,-11.625093460083008
1045,-11.643160820007324
1046,-12.304349899291992
1047,-12.158525466918945
1048,-12.098697662353516
1049,-12.304349899291992
1050,-11.790998458862305
1051,-12.164581298828125
1052,-12.128158569335938
1053,-12.255134582519531
1054,-12.304349899291992
1055,-11.625093460083008
1056,-11.643160820007324
1057,-12.200960159301758
1058,-12.304349899291992
1059,-12.276533126831055
1060,-11.634384155273438
1061,-12.304349899291992
1062,-12.13995361328125
1063,-12.178998947143555
1064,-11.508350372314453
1065,-11.707311630249023
1066,-12.144615173339844
1067,-10.370617866516113
1068,-12.077460289001465
1069,-11.53611946105957
1070,-11.365913391113281
1071,-12.304349899291992
1072,-11.809854507446289
1073,-12.222640037536621
1074,-11.911249160766602
1075,-12.138252258300781
1076,-11.925586700439453
1077,-12.166436195373535
1078,-12.154678344726562
1079,-11.790998458862305
1080,-12.048517227172852
1081,-10.989395141601562
1082,-11.904829978942871
1083,-11.625093460083008
1084,-12.304349899291992
1085,-11.097028732299805
1086,-11.66231918334961
1087,-11.66231918334961
1088,-11.53611946105957
1089,-12.304349899291992
1090,-12.057867050170898
1091,-11.643160820007324
1092,-12.304349899291992
1093,-11.706548690795898
1094,-11.75654411315918
1095,-11.53611946105957
1096,-7.835627555847168
1097,-11.488031387329102
1098,-11.75654411315918
1099,-12.014803886413574
1100,-11.904829978942871
1101,-7.5926408767700195
1102,-11.643160820007324
1103,-11.643160820007324
1104,-12.027437210083008
1105,-9.298853874206543
1106,-11.643160820007324
1107,-11.84306812286377
1108,-11.833677291870117
1109,-11.709362983703613
1110,-11.675301551818848
1111,-12.304349899291992
1112,-12.180948257446289
1113,-12.304349899291992
1114,-12.047375679016113
1115,-11.66231918334961
1116,-12.148141860961914
1117,-12.178998947143555
1118,-11.749975204467773
1119,-11.790998458862305
1120,-11.800785064697266
1121,-12.139867782592773
1122,-12.112232208251953
1123,-12.158525466918945
1124,-11.883430480957031
1125,-12.304349899291992
1126,-11.66231918334961
1127,-11.625093460083008
1128,-11.643160820007324
1129,-11.790998458862305
1130,-10.530153274536133
1131,-11.794549942016602
1132,-12.122100830078125
1133,-11.660478591918945
1134,-11.94450855255127
1135,-12.166635513305664
1136,-12.075746536254883
1137,-12.112523078918457
1138,-12.304349899291992
1139,-11.883430480957031
1140,-10.577413558959961
1141,-12.304349899291992
1142,-11.99559211730957
1143,-11.735092163085938
1144,-11.528070449829102
1145,-12.304349899291992
1146,-12.024856567382812
1147,-11.573747634887695
1148,-11.68348503112793
1149,-11.99710750579834
1150,-11.198349952697754
1151,-12.304349899291992
1152,-12.304349899291992
1153,-11.998281478881836
1154,-11.53611946105957
1155,-12.304349899291992
1156,-10.264166831970215
1157,-11.675456047058105
1158,-12.095741271972656
1159,-11.66231918334961
1160,-12.011844635009766
1161,-11.916511535644531
1162,-12.268482208251953
1163,-12.304349899291992
1164,-12.137289047241211
1165,-12.304349899291992
1166,-12.212926864624023
1167,-11.790998458862305
1168,-12.174480438232422
1169,-11.53611946105957
1170,-11.66231918334961
1171,-11.625093460083008
1172,-12.169576644897461
1173,-12.304349899291992
1174,-11.883430480957031
1175,-11.68348503112793
1176,-11.66231918334961
1177,-12.304349899291992
1178,-11.66231918334961
1179,-11.705047607421875
1180,-11.675456047058105
1181,-11.605749130249023
1182,-11.213042259216309
1183,-11.673019409179688
1184,-12.006830215454102
1185,-12.304349899291992
1186,-12.304349899291992
1187,-11.625093460083008
1188,-12.247659683227539
1189,-12.123732566833496
1190,-12.151060104370117
1191,-11.917793273925781
1192,-11.527156829833984
1193,-12.010757446289062
1194,-11.91043472290039
1195,-11.831428527832031
1196,-11.632438659667969
1197,-12.065713882446289
1198,-10.902679443359375
1199,-12.304349899291992
1200,-12.103094100952148
1201,-11.681024551391602
1202,-11.508350372314453
1203,-12.304349899291992
1204,-12.304349899291992
1205,-11.75654411315918
1206,-12.081949234008789
1207,-11.284767150878906
1208,-12.143139839172363
1209,-11.962839126586914
1210,-12.097731590270996
1211,-12.318649291992188
1212,-11.297883033752441
1213,-12.178998947143555
1214,-12.304349899291992
1215,-10.577413558959961
1216,-11.66231918334961
1217,-12.234048843383789
1218,-10.938387870788574
1219,-11.906244277954102
1220,-11.488031387329102
1221,-11.713839530944824
1222,-11.53611946105957
1223,-9.968196868896484
1224,-12.027933120727539
1225,-11.508350372314453
1226,-11.883430480957031
1227,-12.237707138061523
1228,-11.577764511108398
1229,-12.094886779785156
1230,-12.116693496704102
1231,-11.66231918334961
1232,-11.907190322875977
1233,-12.304349899291992
1234,-11.690773963928223
1235,-11.66231918334961
1236,-11.875131607055664
1237,-12.304349899291992
1238,-12.304349899291992
1239,-12.105693817138672
1240,-9.334344863891602
1241,-12.204395294189453
1242,-11.643160820007324
1243,-12.304349899291992
1244,-12.050871849060059
1245,-7.5926408767700195
1246,-12.218413352966309
